request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"For this family transfer, recommend full payment; the validated 90-day forecast preserves the IDR 24768300 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"For this purchase, recommend full payment; the validated 90-day forecast preserves the ZAR 20500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_28,0,not_affordable,not_recommended,none,,none,"For this investment, recommend not recommended; the validated 90-day forecast preserves the EUR 1100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"For this investment, recommend full payment; the validated 90-day forecast preserves the ZAR 28300 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_30,50.01,not_affordable,not_recommended,none,,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the USD 900 minimum while respecting your retirement investment priority and payment preferences."
request_31,1823339.7,not_affordable,not_recommended,none,2024-11-16,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 16588900 minimum while respecting your education priority and payment preferences."
request_32,7274.83,not_affordable,not_recommended,none,,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the ZAR 35700 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_33,27936.9,not_affordable,not_recommended,none,,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 102100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"For this travel, recommend full payment; the validated 90-day forecast preserves the INR 138500 minimum while respecting your retirement investment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_35,20932.78,not_affordable,not_recommended,none,2026-01-16,none,"For this travel, recommend not recommended; the validated 90-day forecast preserves the INR 106400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_36,357.13,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the USD 2400 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_37,0,not_affordable,not_recommended,none,,none,"For this family transfer, recommend not recommended; the validated 90-day forecast preserves the IDR 17056200 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_38,157.01,not_affordable,not_recommended,none,2025-10-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the EUR 400 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_39,50097.74,not_affordable,not_recommended,none,2026-06-16,none,"For this housing, recommend not recommended; the validated 90-day forecast preserves the INR 213400 minimum while respecting your emergency savings priority and payment preferences."
request_40,318.53,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the EUR 1500 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_41,7078305.1,not_affordable,not_recommended,none,2026-01-16,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the IDR 25366600 minimum while respecting your emergency savings priority and payment preferences."
request_42,0,not_affordable,not_recommended,none,,none,"For this emergency expense, recommend not recommended; the validated 90-day forecast preserves the INR 113100 minimum while respecting your emergency savings priority and payment preferences. Relevant untrusted evidence was reviewed."
request_43,8041056.54,not_affordable,not_recommended,none,2024-11-16,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 21398000 minimum while respecting your debt repayment priority and payment preferences. Relevant untrusted evidence was reviewed."
request_44,20799.06,not_affordable,not_recommended,none,,none,"For this education, recommend not recommended; the validated 90-day forecast preserves the INR 82900 minimum while respecting your education priority and payment preferences. Relevant untrusted evidence was reviewed."
request_45,2816177.02,not_affordable,not_recommended,none,,none,"For this purchase, recommend not recommended; the validated 90-day forecast preserves the IDR 11149800 minimum while respecting your healthcare priority and payment preferences. Relevant untrusted evidence was reviewed."
request_46,31257.31,not_affordable,not_recommended,none,2025-01-15,none,"For this debt repayment, recommend not recommended; the validated 90-day forecast preserves the INR 84000 minimum while respecting your emergency savings priority and payment preferences."
